standType	epiphyteType	species	dryWeight (g)	replicate	sampleCode	siteNumber
Corridor Cut	Bryophyte	Anomodon rugelii		1	A27C	1
Corridor Cut	Bryophyte	Anomodon rugelii		2	A1C	2
Corridor Cut	Bryophyte	Anomodon rugelii		3	A24C	3
Corridor Cut	Bryophyte	Anomodon rugelii		4	A11C	4
Corridor Cut	Bryophyte	Anomodon rugelii		5	A13C	5
Corridor Cut	Bryophyte	Anomodon rugelii		6	A10C	6
Corridor Cut	Bryophyte	Anomodon rugelii		7	A29C	7
Corridor Cut	Bryophyte	Anomodon rugelii		8	A26C	8
Corridor Cut	Bryophyte	Brachythecium oxycladon		1	B29C	11
Corridor Cut	Bryophyte	Brachythecium oxycladon		2	B1C	12
Corridor Cut	Bryophyte	Brachythecium oxycladon		3	B24C	13
Corridor Cut	Bryophyte	Brachythecium oxycladon		4	B17C	14
Corridor Cut	Bryophyte	Brachythecium oxycladon		5	B22C	15
Corridor Cut	Bryophyte	Brachythecium oxycladon		6	B28C	16
Corridor Cut	Bryophyte	Brachythecium oxycladon		7	B25C	17
Corridor Cut	Bryophyte	Brachythecium oxycladon		8	B11C	18
Corridor Cut	Bryophyte	Neckera pennata		1	N20C	21
Corridor Cut	Bryophyte	Neckera pennata		2	N18C	22
Corridor Cut	Bryophyte	Neckera pennata		3	N7C	23
Corridor Cut	Bryophyte	Neckera pennata		4	N17C	24
Corridor Cut	Bryophyte	Neckera pennata		5	N19C	25
Corridor Cut	Bryophyte	Neckera pennata		6	N8C	26
Corridor Cut	Bryophyte	Neckera pennata		7	N10C	27
Corridor Cut	Bryophyte	Neckera pennata		8	N27C	28
Corridor Cut	Bryophyte	Porella platyphylla		1	P24C	31
Corridor Cut	Bryophyte	Porella platyphylla		2	P19C	32
Corridor Cut	Bryophyte	Porella platyphylla		3	P1C	33
Corridor Cut	Bryophyte	Porella platyphylla		4	P14C	34
Corridor Cut	Bryophyte	Porella platyphylla		5	P15C	35
Corridor Cut	Bryophyte	Porella platyphylla		6	P23C	36
Corridor Cut	Bryophyte	Porella platyphylla		7	P29C	37
Corridor Cut	Bryophyte	Porella platyphylla		8	P28C	38
Corridor Cut	Lichen	Lobaria pulmonaria		1	L8C	41
Corridor Cut	Lichen	Lobaria pulmonaria		2	L6C	42
Corridor Cut	Lichen	Lobaria pulmonaria		3	L3C	43
Corridor Cut	Lichen	Lobaria pulmonaria		4	L4C	44
Corridor Cut	Lichen	Lobaria pulmonaria		5	L5C	45
Corridor Cut	Lichen	Lobaria pulmonaria		6	L7C	46
Corridor Cut	Lichen	Lobaria pulmonaria		7	L2C	47
Corridor Cut	Lichen	Lobaria pulmonaria		8	L1C	48
Corridor Cut	Lichen	Lobaria quercizans		1	S12C	51
Corridor Cut	Lichen	Lobaria quercizans		2	S9C	52
Corridor Cut	Lichen	Lobaria quercizans		3	S7C	53
Corridor Cut	Lichen	Lobaria quercizans		4	S8C	54
Corridor Cut	Lichen	Lobaria quercizans		5	S10C	55
Corridor Cut	Lichen	Lobaria quercizans		6	S11C	56
Corridor Cut	Lichen	Lobaria quercizans		7	S13C	57
Corridor Cut	Lichen	Lobaria quercizans		8	S3C	58
Corridor Cut	Lichen	Phaeophyscia sp.		1	G18C	61
Corridor Cut	Lichen	Phaeophyscia sp.		2	G17C	62
Corridor Cut	Lichen	Phaeophyscia sp.		3	G27C	63
Corridor Cut	Lichen	Phaeophyscia sp.		4	G26C	64
Corridor Cut	Lichen	Phaeophyscia sp.		5	G28C	65
Corridor Cut	Lichen	Phaeophyscia sp.		6	G24C	66
Corridor Cut	Lichen	Phaeophyscia sp.		7	G22C	67
