Hypogastruidae	Poduridae	Sminthuridae	Entomobryidae	Isotomidae	Bdelidae	Phthiracaridae	Eupthiracaridae	Trhypochthoniidae	Oppiidae	Eremulidae	Phytoseiidae	Oribatellidae	Haplozetidae	Hyopochthoniidae	Oribatulidae	Liacaridae	Mycobatidae	Hemileiidae	Ceratozetidae	Cepheidae	Parakalummidae	Galumnidae	Hermanniellidae	Achipteriidae	Camisiidae	Carbodidade	Cymbaeremaeidae	Damaeidae	Neoliodidae	Suctobelbidae	Tectocepheidae	Ctenacaridae	Ascidae	Pyroglyphidae	Tetranychidae	Tydeidae	Acaridae	Ologamastidae	Cunaxidae	Erythraeidae	Thripidae	Phlaeothripidae	Psocidae	Phoridae	Cecidomyiidae	Chironomidae	Mycetophilidae	Sciaridae	Aphididae	Liposcelididae	Psocidae	Miridae	Staphylinidae	Nitidulidae	Erotylidae	Mymaridae	Anthocoridae	Hydroptilidae	Dictynidae	Araneidae	Corinnidae	Plectreuridae	Homoalonnychidae	Gnaphosidae	Zoridae	Garypinidae	Xystodesmidae	Julidae	Lithobiidae
5	0	1	9	9	0	2	0	0	23	0	2	6	0	0	8	0	0	2	5	0	12	0	0	0	0	6	2	0	0	0	5	0	2	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	1	2	1	0	0	0	2	0	4	0	0	0	5	0	2	0	0	0	1	4	0	19	1	2	0	0	11	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	1	12	0	1	2	5	0	16	0	0	10	0	0	9	0	0	2	2	1	7	5	3	7	0	0	1	0	1	0	22	0	0	0	0	2	15	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	9	2	17	0	1	0	0	0	13	3	9	0	0	4	0	0	1	4	11	1	1	0	5	0	21	4	0	21	0	32	0	9	0	0	5	3	2	0	0	49	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
3	0	0	0	12	0	0	0	0	23	7	1	5	0	0	4	0	3	0	9	2	0	0	4	1	0	13	7	0	0	0	5	0	0	2	0	0	10	6	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	3	2	12	0	0	0	0	6	0	2	4	0	0	0	0	0	0	0	0	0	0	0	10	0	11	0	0	1	6	18	0	2	0	0	2	13	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	7	0	3	0	0	9	0	0	0	0	0	9	0	0	2	2	8	6	2	5	2	0	12	0	0	2	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	2	5	5	0	4	0	0	50	0	6	6	0	0	24	0	0	6	1	3	12	4	2	1	0	9	0	0	0	0	0	0	0	0	1	4	16	4	0	0	18	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	1	3	18	0	0	1	0	14	0	5	0	0	0	9	0	0	2	0	2	5	3	0	4	0	13	7	0	1	0	5	0	9	2	0	4	31	2	1	0	32	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	1	0	1	2	0	0	3	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	24	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	1	3	0	0	1	0	0	0	0	1	0	0	6	0	0	2	0	0	2	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	2	0	0	0	24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	31	0	1	2	0	5	0	10	2	0	0	5	0	0	5	2	0	4	0	5	4	0	7	3	0	2	0	1	0	2	1	0	5	5	3	2	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	6	13	63	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13	1	3	20	2	2	0	36	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	1	6	24	1	1	0	0	15	0	1	3	0	0	12	0	0	0	1	3	7	0	0	0	0	10	0	0	0	0	12	0	8	7	0	1	16	3	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	2	0	19	3	0	0	0	0	0	6	2	0	0	0	0	0	5	0	2	2	1	0	0	0	6	1	0	0	0	33	0	1	0	1	2	25	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	3	16	0	0	1	0	70	0	5	15	0	0	17	0	0	5	2	5	5	0	1	5	0	13	16	0	7	0	67	0	0	0	1	7	23	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	3	0	3	2	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	20	0	0	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	4	1	0	0	0	11	0	1	0	0	0	2	0	0	3	0	0	5	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	6	3	0	0	19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
9	0	1	0	5	0	0	0	0	12	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	0	1	2	1	0	0	0	0	5	0	1	0	0	0	7	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	3	7	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
